state_name,SD,LD,NESC,PC,GS,CPV,0
California,0,0,0,0,0,0,2020-01-26
California,1,0,0,0,0,0,2020-03-05
California,1,0,0,0,1,0,2020-03-11
California,1,0,0,0,3,0,2020-03-12
California,1,0,0,1,4,0,2020-03-13
California,1,0,0,1,5,0,2020-03-15
California,1,0,1,1,5,2,2020-03-16
California,1,0,1,1,7,2,2020-03-19
Colorado,0,0,0,0,0,0,2020-03-06
Colorado,0,0,0,1,0,0,2020-03-11
Colorado,0,0,0,1,0,2,2020-03-13
Colorado,0,0,1,1,0,2,2020-03-20
District of Columbia,0,0,0,0,0,0,2020-03-07
District of Columbia,0,0,0,1,0,0,2020-03-09
District of Columbia,0,0,0,1,3,0,2020-03-11
District of Columbia,0,0,0,1,5,0,2020-03-16
District of Columbia,0,0,1,1,5,0,2020-03-17
Florida,0,0,0,0,0,0,2020-03-11
Florida,0,0,0,1,0,0,2020-03-13
Florida,1,0,0,1,0,2,2020-03-16
Florida,1,0,0,1,7,2,2020-03-18
Florida,1,0,1,1,7,2,2020-03-19
Georgia,0,0,0,0,0,0,2020-03-02
Georgia,1,0,0,1,0,0,2020-03-13
Georgia,1,0,0,1,5,2,2020-03-16
Illinois,0,0,0,0,0,0,2020-01-24
Illinois,0,0,0,1,0,2,2020-03-16
Illinois,1,0,0,1,7,2,2020-03-18
Illinois,1,0,1,1,7,2,2020-03-21
Kansas,0,0,0,0,0,0,2020-03-07
Kansas,0,0,0,1,5,2,2020-03-16
Kansas,1,0,0,1,5,2,2020-03-24
Massachusetts,0,0,0,0,0,0,2020-02-01
Massachusetts,0,0,0,0,0,2,2020-03-11
Massachusetts,0,0,0,0,6,2,2020-03-12
Massachusetts,1,0,0,0,0,0,2020-03-03
Massachusetts,1,0,1,1,6,0,2020-03-15
Massachusetts,1,0,1,1,6,2,2020-03-17
Michigan,0,0,0,0,0,0,2020-03-10
Michigan,0,0,0,1,0,2,2020-03-13
Michigan,0,0,1,1,0,2,2020-03-16
Michigan,1,0,1,1,0,2,2020-03-17
Nevada,0,0,0,0,0,0,2020-03-05
Nevada,0,0,0,0,0,2,2020-03-15
Nevada,0,0,0,1,3,2,2020-03-16
Nevada,0,0,1,1,3,2,2020-03-21
New Jersey,0,0,0,0,0,0,2020-03-04
New Jersey,1,0,0,0,0,0,2020-03-10
New Jersey,1,0,0,1,0,0,2020-03-11
New Jersey,1,0,1,1,3,2,2020-03-13
New Jersey,1,0,1,1,5,2,2020-03-16
New York,0,0,0,0,0,0,2020-03-01
New York,0,0,0,0,2,0,2020-03-12
New York,0,0,0,1,5,2,2020-03-16
New York,1,0,1,1,5,2,2020-03-20
Texas,0,0,0,0,0,0,2020-03-10
Texas,0,0,0,0,2,0,2020-03-12
Texas,0,0,0,0,2,2,2020-03-13
Texas,0,0,0,0,7,2,2020-03-16
Texas,1,0,1,1,7,2,2020-03-19
Washington,0,0,0,0,0,0,2020-01-21
Washington,0,0,0,1,0,0,2020-03-02
Washington,1,0,0,1,0,0,2020-03-05
Washington,1,0,0,1,3,0,2020-03-11
Washington,1,0,1,1,5,2,2020-03-16
